alpha70,,alpha65,,alpha60,,alpha55,,alpha50,,alpha40,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.18696363030592889,0.1592768841821705,0.18696363030592889,0.15404078869861182,0.18696363030592889,0.14426390580383697,0.18696363030592889,0.14426390580383697,0.1863805759609649,0.13934176319988192,0.18696363030592889,0.1390514602547117
0.19745860851528033,0.15716258004382297,0.19687555417031635,0.151287936330562,0.19687555417031635,0.1414383298874044,0.19687555417031635,0.1414383298874044,0.19512639113542446,0.13678376939875317,0.19629249982535238,0.13638239622579745
0.20795358672463177,0.1553746450006566,0.20678747803470382,0.1488756430183534,0.20678747803470382,0.13876529604806737,0.20678747803470382,0.13876529604806737,0.20445526065484795,0.13393361444332014,0.20562136934477587,0.13364981523011912
0.2184485649339832,0.15355833003617012,0.21728245624405526,0.14649172962746493,0.21728245624405526,0.13640266759816894,0.21728245624405526,0.13640266759816894,0.21378413017427145,0.13140172003411968,0.21611634755412734,0.1306699234915085
0.22894354314333465,0.15191229459960426,0.2277774344534067,0.1438807768660156,0.2277774344534067,0.13384847467935984,0.2277774344534067,0.13384847467935984,0.222529945348731,0.12868332899910143,0.22661132576347875,0.12750556226431722
0.23943852135268606,0.15009597963511778,0.23827241266275814,0.1415820032390874,0.23827241266275814,0.13126590183923062,0.23827241266275814,0.13126590183923062,0.23244186921311843,0.1260156163950119,0.2371063039728302,0.12478108981758751
0.24993349956203753,0.1485067040411921,0.24876739087210958,0.13929741957281927,0.24899006709934826,0.12890858667769314,0.24876739087210958,0.12868332899910143,0.2429368474224699,0.12312086442036159,0.24760128218218164,0.12191471776425729
0.26042847777138894,0.14708770797518703,0.259262369081461,0.13711216563117146,0.259262369081461,0.1268528240739549,0.259262369081461,0.12608183621142546,0.25284877128685734,0.1205418390703974,0.2580962603915331,0.11913348547488736
0.2709234559807404,0.14593832116172295,0.26975734729081247,0.13523909082404478,0.26975734729081247,0.12499393922748826,0.26975734729081247,0.12380198253204401,0.26276069515124484,0.11805221047259151,0.2685912386008845,0.11677227602105494
0.2814184341900918,0.14484569419089904,0.2802523255001639,0.13343696582021836,0.2802523255001639,0.12295058489244097,0.2802523255001639,0.12173024827567662,0.27325567336059625,0.11569478500826844,0.277920108120308,0.11437741608908585
0.29191341239944324,0.14361116761347464,0.29074730370951535,0.13171998058035225,0.29074730370951535,0.120992370321354,0.29074730370951535,0.11940309472742833,0.2837506515699477,0.11333641354656802,0.2872489776397315,0.11147090671846004
0.3024083906087947,0.1422773113114299,0.30124228191886676,0.13001718530114617,0.30124228191886676,0.11899158586828686,0.30124228191886676,0.11730298054974084,0.29424562977929913,0.11110906272162875,0.297743955849083,0.10920997298662533
0.3129033688181462,0.14166714300304772,0.31173726012821823,0.12866913903844138,0.31173726012821823,0.1174306901956813,0.31173726012821823,0.11564275515251492,0.30474060798865055,0.1091863230521919,0.3082389340584344,0.10682132960885013
0.3233983470274976,0.14088669516674493,0.32223223833756964,0.12715081324781596,0.32223223833756964,0.11565694511317497,0.32223223833756964,0.11374130042406815,0.315235586198002,0.10722810848110492,0.3187339122677858,0.10450647402650722
0.333893325236849,0.14014881721242228,0.33272721654692106,0.1257318171818109,0.33272721654692106,0.11423794904716991,0.33272721654692106,0.11188241557760151,0.3257305644073535,0.10492933485417671,0.32922889047713727,0.10247447165998798
0.34438830344620047,0.13928322961215922,0.3432221947562725,0.12444053076174628,0.3432221947562725,0.11279057305984475,0.3432221947562725,0.11006610061311503,0.3362255426167049,0.1031839696929905,0.33972386868648874,0.09991791374773551
0.3548832816555519,0.1388575307923577,0.353717172965624,0.1232911439482822,0.353717172965624,0.1115702364430804,0.353717172965624,0.10834911537324891,0.3467205208260563,0.10118318523992335,0.35021884689584015,0.09769245491755092
0.36537825986490335,0.13823317252331546,0.3642121511749754,0.1222552768200985,0.3642121511749754,0.11029313998367585,0.3642121511749754,0.10681659962196345,0.3572154990354078,0.09912564094421603,0.36071382510519157,0.09569167046448378
0.37587323807425477,0.13786423354615415,0.3747071293843268,0.121276169534555,0.3747071293843268,0.10917213309153184,0.3747071293843268,0.10549693328057874,0.36771047724475925,0.09772083483887102,0.37120880331454303,0.09380440569669705
0.3863682162836062,0.13749529456899284,0.3852021075936783,0.1202119224850512,0.3852021075936783,0.1079801763960876,0.3852021075936783,0.10385089784401287,0.37820545545411066,0.0962308889695657,0.3817037815238945,0.09169010155834952
0.39686319449295765,0.13729663511975213,0.3956970858030297,0.11953080437336878,0.3956970858030297,0.10704363899252425,0.3956970858030297,0.10261637126658847,0.3887004336634621,0.09445714388705938,0.3921987597332459,0.08988797655452309
0.4073581727023091,0.13723987527711193,0.40619206401238117,0.11867940673376574,0.40619206401238117,0.10609291162830087,0.40619206401238117,0.10128251496454371,0.3991954118728135,0.09312328758501462,0.40269373794259733,0.08804328166871651
0.41785315091166053,0.13722568531645188,0.4166870422217326,0.11811180830736372,0.4166870422217326,0.10529827383133804,0.4166870422217326,0.0998493289378786,0.40969039008216496,0.09161915175504927,0.41318871615194874,0.08636886631083053
0.42834812912101194,0.13723987527711193,0.42718202043108405,0.11768610948756221,0.42718202043108405,0.10465972560163576,0.42718202043108405,0.09882765177035496,0.4201853682915164,0.0901717757677241,0.4236836943613002,0.08477959071690487
0.4388431073303634,0.13723987527711193,0.43767699864043547,0.11720365082512048,0.43767699864043547,0.10385089784401287,0.43767699864043547,0.09789111436679163,0.43068034650086784,0.08903657891492005,0.4341786725706517,0.08309098539835885
0.4493380855397148,0.13723987527711193,0.4481719768497869,0.11655091263475816,0.4481719768497869,0.10319815965365055,0.4481719768497869,0.09688362715992803,0.4411753247102193,0.08768853265221524,0.4446736507800031,0.08155846964707339
0.4598330637490663,0.13738177488371242,0.45866695505913835,0.11629549334287725,0.45866695505913835,0.10264475118790857,0.45866695505913835,0.09581938011042423,0.4516703029195707,0.0867519952486519,0.4551686289893545,0.08030975310898893
0.4703280419584177,0.1375094845296529,0.46916193326848976,0.11599750416901618,0.46916193326848976,0.10219067244678695,0.46916193326848976,0.09486865274620083,0.46216528112892213,0.08557422851386771,0.465663607198706,0.07887656708232382
0.4808230201677692,0.13804870303473482,0.47965691147784123,0.11578465475911542,0.47965691147784123,0.1019778230368862,0.47965691147784123,0.09386116553933727,0.4726602593382736,0.08462350114964431,0.4761585854080574,0.07754271078027906
0.4913179983771206,0.13851697173651648,0.49015188968719264,0.11578465475911542,0.49015188968719264,0.10163726398104497,0.49015188968719264,0.09320842734897493,0.483155237547625,0.08360182398212068,0.48665356361740886,0.07635075408483481
0.5018129765864721,0.1387723910283974,0.5006468678965441,0.11578465475911542,0.5006468678965441,0.10122575512190352,0.5006468678965441,0.0924137895520121,0.4936502157569765,0.08292070587043825,0.49714854182676027,0.07524393715335087
0.5123079547958235,0.13915551996621875,0.5111418461058955,0.11578465475911542,0.5111418461058955,0.1010554755939829,0.5111418461058955,0.09174686140098973,0.504145193966328,0.0820693082308352,0.5076435200361118,0.07419388006450714
0.5228029330051749,0.14002110756648184,0.5216368243152469,0.11578465475911542,0.5216368243152469,0.1009703358300226,0.5216368243152469,0.09099479348600704,0.5146401721756794,0.08107601098463166,0.5181384982454631,0.07294516352642268
0.5332979112145264,0.14057451603222382,0.5321318025245985,0.11578465475911542,0.5321318025245985,0.1009703358300226,0.5321318025245985,0.09061166454818567,0.5251351503850308,0.08059355232218995,0.5286334764548146,0.07215052572945985
0.5437928894238777,0.1410711646553256,0.5426267807339499,0.11608264393297649,0.5426267807339499,0.1009703358300226,0.5426267807339499,0.08998730627914345,0.5356301285943823,0.08009690369908817,0.539128454664166,0.07119979836523646
0.5542878676332292,0.14185161249162836,0.5531217589433013,0.11629549334287725,0.5531217589433013,0.1009703358300226,0.5531217589433013,0.08938602100056961,0.5461251068037336,0.07931645586278539,0.5496234328735174,0.07023488104035303
0.5647828458425806,0.1426462502885912,0.5636167371526527,0.11674957208399886,0.5636167371526527,0.1009703358300226,0.5636167371526527,0.08892305922963964,0.5566200850130851,0.07866371767242307,0.560118411082869,0.06944024324339018
0.5752778240519321,0.14325641859697338,0.5741117153620041,0.11706175121851999,0.5741117153620041,0.10108385551530301,0.5741117153620041,0.08871020981973889,0.5671150632224365,0.07849343814450246,0.5706133892922203,0.06867398536774745
0.5857728022612836,0.14416457607921662,0.5846066935713556,0.1173739303530411,0.5846066935713556,0.10122575512190352,0.5846066935713556,0.08839803068521777,0.577610041431788,0.07806773932470094,0.5811083675015718,0.06799286725606503
0.596267780470635,0.14511530344344,0.595101671780707,0.11782800909416272,0.595101671780707,0.10125413504322361,0.595101671780707,0.08817099131465697,0.5881050196411395,0.07768461038687957,0.5916033457109232,0.06714146961646199
0.6067627586799864,0.14583899143710258,0.6055966499900585,0.11843817740254489,0.6055966499900585,0.10173659370566533,0.6055966499900585,0.08794395194409615,0.5985999978504908,0.0772163416850979,0.6020983239202746,0.06663063103270016
0.6172577368893379,0.14678971880132596,0.61609162819941,0.11884968626168635,0.61609162819941,0.10187849331226584,0.61609162819941,0.08794395194409615,0.6090949760598423,0.076960922393217,0.6125933021296261,0.06617655229157854
0.6277527150986892,0.14779720600818957,0.6265866064087613,0.11940309472742833,0.6265866064087613,0.10241771181734777,0.6265866064087613,0.08760339288825494,0.6195899542691937,0.07670550310133609,0.6230882803389776,0.06563733378649662
0.6382476933080408,0.148762123333073,0.6370815846181128,0.12014097268175096,0.6370815846181128,0.10275827087318898,0.6370815846181128,0.08743311336033434,0.6300849324785451,0.07662036333737579,0.633583258548329,0.06512649520273481
0.6487426715173922,0.14988313022521702,0.6475765628274642,0.12073695102947309,0.6475765628274642,0.1029853102437498,0.6475765628274642,0.08743311336033434,0.6405799106878967,0.07645008380945517,0.6440782367576805,0.06495621567481419
0.6592376497267436,0.15079128770746025,0.6580715410368156,0.12148901894445575,0.6580715410368156,0.1034110090635513,0.6580715410368156,0.08743311336033434,0.6510748888972481,0.07645008380945517,0.6545732149670318,0.06457308673699283
0.6697326279360951,0.15213933397016505,0.6685665192461672,0.1222268968987784,0.6685665192461672,0.10402117737193349,0.6685665192461672,0.08746149328165444,0.6615698671065995,0.07645008380945517,0.6650681931763833,0.06418995779917146
0.6802276061454464,0.15310425129504848,0.6790614974555185,0.12299315477442113,0.6790614974555185,0.10458877579833552,0.6790614974555185,0.08776836548532385,0.672064845315951,0.07645008380945517,0.6755631713857346,0.06418995779917146
0.6907225843547979,0.15426782806917264,0.68955647566487,0.12378779257138396,0.68955647566487,0.10505704450011717,0.68955647566487,0.08794395194409615,0.6825598235253023,0.07645008380945517,0.6860581495950862,0.06396291842861064
0.7012175625641495,0.15544559480395684,0.7000514538742215,0.12445472072240635,0.7000514538742215,0.1055395031625589,0.7000514538742215,0.08811423147201677,0.6930548017346538,0.07645008380945517,0.6965531278044377,0.06393453850729056
0.7117125407735008,0.15656660169610084,0.7105464320835728,0.12532030832266944,0.7105464320835728,0.10631995099886168,0.7105464320835728,0.08819937123597707,0.7035497799440051,0.07670550310133609,0.707048106013789,0.06393453850729056
0.7222075189828523,0.15782950819484534,0.7210414102929243,0.12639874533283327,0.7210414102929243,0.10695849922856396,0.7210414102929243,0.08839803068521777,0.7149682410029607,0.07670550310133609,0.7175430842231405,0.06393453850729056
0.7327024971922036,0.1590498448116097,0.7315363885022756,0.127165003208476,0.7315363885022756,0.10738419804836546,0.7315363885022756,0.08885210942633939,0.7263867020619166,0.07708863203915745,0.728038062432492,0.06393453850729056
0.7431974754015551,0.1602276115463939,0.7420313667116272,0.12791707112345868,0.7420313667116272,0.10810788604202806,0.7420313667116272,0.0889656291116198,0.7373434216960699,0.0772163416850979,0.7385330406418433,0.06393453850729056
0.7536924536109066,0.16139118832051805,0.7525263449209787,0.12893874829098234,0.7525263449209787,0.10888833387833084,0.7525263449209787,0.08951903757736178,0.7496853656046298,0.0776260424686069,0.7490280188511949,0.06393453850729056
0.764187431820258,0.1626399048586025,0.76302132313033,0.12998880537982607,0.76302132313033,0.10955526202935321,0.76302132313033,0.08973188698726253,0.7615655680883875,0.07784069995414014,0.7595229970605462,0.06413319795653126
0.7746824100296095,0.1638744314360269,0.7735163013396815,0.13099629258668966,0.7735163013396815,0.11022219018037559,0.7735163013396815,0.09004406612178364,0.7733206960110486,0.07831954246531687,0.7700179752698977,0.06431766744511191
0.7851773882389608,0.16517990781675154,0.7840112795490328,0.13204634967553341,0.7840112795490328,0.11076140868545752,0.7840112795490328,0.09071099427280602,0.7856626399196085,0.0787452412851184,0.7805129534792492,0.06470079638293329
0.7956723664483123,0.16632929463021565,0.7945062577583843,0.13295450715777665,0.7945062577583843,0.11152766656110025,0.7945062577583843,0.09109412321062739,0.7970811009785641,0.0792596960201452,0.7910079316886005,0.06488526587151394
0.8061673446576638,0.16767734089292047,0.8050012359677359,0.13403294416794048,0.8050012359677359,0.11232230435806308,0.8050012359677359,0.09164753167636937,0.8084995620375197,0.07957368323029879,0.801502909897952,0.0650413554387745
0.8166623228670151,0.1688692975883647,0.8154962141770872,0.13495529161084377,0.8154962141770872,0.11303180239106561,0.8154962141770872,0.09210161041749099,0.818994540246871,0.08012528362040829,0.8119978881073033,0.06555219402253631
0.8271573010763666,0.17018896392974942,0.8259911923864387,0.13604791858166768,0.8259911923864387,0.11361359077812769,0.8259911923864387,0.09259825904059275,0.8294895184562225,0.08050841255822966,0.8224928663166549,0.06603465268497805
0.8376522792857182,0.17135254070387357,0.8364861705957902,0.13694188610325086,0.8364861705957902,0.11436565869311037,0.8364861705957902,0.09310909762435457,0.8399844966655738,0.08093411137803116,0.8329878445260064,0.06643197158345945
0.8481472574950695,0.1724877375566776,0.8469811488051415,0.13796356327077453,0.8469811488051415,0.11514610652941315,0.8469811488051415,0.093790215736037,0.8504794748749254,0.08154427968641334,0.8434828227353577,0.06702794993118158
0.858642235704421,0.1736938842127819,0.857476127014493,0.13895686051697806,0.857476127014493,0.11581303468043552,0.857476127014493,0.09444295392639933,0.8609744530842769,0.08215444799479552,0.8539778009447092,0.0674536487509831
0.8691372139137723,0.1748148911049259,0.8679711052238444,0.13999272764516174,0.8679711052238444,0.11660767247739837,0.8679711052238444,0.09509569211676165,0.8714694312936282,0.08258014681459704,0.8644727791540607,0.06807800702002532
0.8796321921231238,0.17606360764301035,0.8784660834331959,0.14070222567816426,0.8784660834331959,0.11730298054974084,0.8784660834331959,0.09574843030712399,0.8819644095029797,0.08309098539835885,0.874967757363412,0.06861722552510724
0.8901271703324753,0.1771988044958144,0.8889610616425474,0.1415820032390874,0.8889610616425474,0.11798409866142326,0.8889610616425474,0.09642954841880641,0.8924593877123312,0.08385724327400158,0.8854627355727636,0.06944024324339018
0.9006221485418267,0.17822048166333804,0.8994560398518987,0.14260368040661106,0.8994560398518987,0.11856588704848535,0.8994560398518987,0.09695457696322829,0.9029543659216825,0.08448160154304382,0.8959577137821149,0.0699227019058319
0.9111171267511782,0.17936986847680214,0.9099510180612502,0.14355440777083445,0.9099510180612502,0.11923281519950772,0.9099510180612502,0.09773502479953107,0.9134493441310341,0.08490730036284533,0.9064526919914664,0.0706747698208146
0.9216121049605295,0.18066115489686674,0.9204459962706015,0.1447463644662787,0.9204459962706015,0.1200132630358105,0.9204459962706015,0.09854385255715395,0.9239443223403854,0.0854607088285873,0.9169476702008179,0.07141264777513721
0.932107083169881,0.18169702202505045,0.930940974479953,0.14566871190918199,0.930940974479953,0.12052410161957232,0.930940974479953,0.09912564094421603,0.9344393005497369,0.08641143619281069,0.9274426484101692,0.07222147553276011
0.9426020613792325,0.18266193934993388,0.9414359526893046,0.14663362923406542,0.9414359526893046,0.12134711933785526,0.9414359526893046,0.09983513897721856,0.9449342787590884,0.08689389485525242,0.9379376266195207,0.07304449325104304
0.9530970395885838,0.18355590687151707,0.9519309308986559,0.14720122766046745,0.9519309308986559,0.12197147760689749,0.9519309308986559,0.10058720689220124,0.9554292569684397,0.08736216355703408,0.9512030533776847,0.07385151293303344
0.9635920177979354,0.18469110372432113,0.9624259091080074,0.14826547470997123,0.9624259091080074,0.12246812622999925,0.9624259091080074,0.10136765472850402,0.9659242351777912,0.08817099131465697,0.9649302215606508,0.07503832004598006
0.9740869960072867,0.18568440097052466,0.9729208873173589,0.14897497274297378,0.9729208873173589,0.12289382504980077,0.9729208873173589,0.10226162225008721,0.9764192133871425,0.08880953954435925,0.9763486826196064,0.07613456316806894
0.9873524227654507,0.18670788621368078,0.9834158655267102,0.14989732018587706,0.9834158655267102,0.1234898033975229,0.9834158655267102,0.10295693032242968,0.9869141915964941,0.08923523836416075,0.987767143678562,0.07727156809650546
0.9983091423996042,0.18757889804084135,0.9971430337096763,0.15089423358334558,0.9971430337096763,0.12397407013559711,0.997919015826358,0.10407436111561705,0.9968261154608815,0.08990748775043066,0.9987238633127156,0.07830743522468915
